0_0,,,,1_0,,,,1_1,,,,2_0,,,,3_0,,,,3_1,,,
n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys
1,122.85,90.25,57.46,1,122.61,90.1,57.89,1,118.73,86.34,50.96,1,116.76,88.71,60.21,1,121.1,90.97,62.54,1,119.23,88.09,56.25
2,119.56,89.26,57.85,2,116.3,87.34,56.37,2,114.12,84.56,50.05,2,117.89,89.21,61.33,2,117.68,89.11,61.39,2,117.1,86.96,55.57
3,116.11,87.32,56.52,3,116.49,87.66,56.48,3,115.39,85.18,51.02,3,117.33,89.13,60.9,3,118.82,89.75,61.69,3,116.48,86.7,55.72
4,116.48,87.57,56.66,4,116.89,87.81,56.87,4,115.04,84.96,50.93,4,119.25,90.03,61.99,4,117.78,89.33,61.24,4,116.49,86.76,55.51
5,116.93,87.9,57.13,5,116.77,87.85,56.85,5,116.81,85.85,51.66,5,118.22,89.61,61.58,5,118.25,89.6,61.78,5,116.68,87.02,55.67
6,116.89,88.02,56.91,6,117.68,88.33,57.05,6,128.18,90.42,55.57,6,125.57,93.25,64.51,6,118.63,89.98,61.83,6,117.19,87.4,56.02
7,118.45,88.84,57.64,7,117.76,88.5,57.42,7,115.93,85.59,51.49,7,118.97,90.13,62.21,7,119.4,90.31,62.27,7,118.86,88.12,56.82
8,118.2,88.72,57.72,8,117.95,88.61,57.7,8,117.01,86.17,51.94,8,119.18,90.34,62.36,8,120.16,90.81,62.92,8,117.9,87.81,56.58
9,117.68,88.55,57.33,9,117.93,88.71,57.29,9,116.68,86.08,51.82,9,120.35,90.92,62.59,9,119.25,90.5,62.17,9,117.88,87.8,56.48
10,117.94,88.78,57.56,10,118.05,88.85,57.78,10,117.59,86.65,52.18,10,120.19,91,62.95,10,120.03,90.84,62.98,10,121.83,90,58.1
11,118.66,89.13,57.92,11,119.53,89.66,58.43,11,117.25,86.53,52.14,11,124.58,93.11,64.29,11,120.36,91.14,62.97,11,122.33,90.31,58.5
12,120.17,89.94,58.84,12,119.99,89.85,58.92,12,118.39,87.09,52.7,12,121.14,91.51,63.41,12,121.4,91.66,63.77,12,120.49,89.26,57.56
13,119.81,89.89,58.36,13,119.46,89.86,58.19,13,131.11,93.34,59.76,13,144.98,103.73,81.92,13,148.81,106.23,83.54,13,144.7,101.84,75.01
14,143.39,102.27,75.11,14,144.05,102.7,75.71,14,144.88,101.15,69.19,14,149.65,106.53,84.55,14,144.55,103.91,81.24,14,143.88,101.57,74.36
15,144.76,103.02,75.87,15,145.88,103.77,77.05,15,142.2,99.82,67.88,15,146.33,105.18,82.71,15,146.95,105.39,82.41,15,146.74,103.1,75.97
16,145.2,103.47,76.5,16,150.56,105.49,77.53,16,144.97,101.15,69.4,16,146.89,105.73,82.48,16,145.8,104.93,82,16,143.84,101.75,74.57
