0_0,,,,1_0,,,,1_1,,,,2_0,,,,3_0,,,,3_1,,,,
n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,
1,367.06,117.44,203.46,1,368.72,117.14,205.30,1,358.71,104.10,177.67,1,376.41,120.70,203.03,1,379.48,116.60,206.60,1,368.96,105.69,176.33,
2,367.24,118.83,204.04,2,370.48,119.95,203.90,2,360.43,107.53,178.68,2,378.26,118.69,205.48,2,394.14,124.56,220.08,2,373.40,104.00,180.43,
3,369.43,118.49,204.04,3,373.43,118.10,206.77,3,362.68,106.42,179.62,3,378.78,118.52,206.69,3,382.79,120.38,209.45,3,373.04,105.33,179.98,
4,370.83,116.98,207.17,4,374.25,118.38,208.44,4,363.65,105.71,182.29,4,381.63,119.47,208.07,4,383.66,118.74,210.38,4,374.52,106.77,183.70,
5,371.53,119.78,207.30,5,375.39,121.52,209.11,5,366.07,107.74,181.03,5,381.69,119.75,208.91,5,384.16,120.31,212.60,5,376.31,106.50,183.75,
6,372.87,117.53,208.66,6,374.78,120.01,207.75,6,367.44,107.14,182.65,6,384.37,120.67,210.83,6,385.19,121.48,212.63,6,376.52,106.58,184.42,
7,375.23,119.94,206.11,7,377.47,119.25,210.19,7,367.26,107.57,184.26,7,384.29,119.55,208.27,7,387.30,117.78,214.65,7,377.31,108.45,183.78,
8,376.14,118.66,209.77,8,377.81,117.70,211.66,8,366.74,106.21,185.89,8,384.47,119.26,212.05,8,387.66,120.33,214.62,8,377.42,107.05,186.33,
9,375.46,119.55,207.43,9,380.10,119.31,215.17,9,368.16,105.92,185.28,9,386.20,122.12,210.84,9,388.84,119.16,214.37,9,377.50,107.35,186.95,
10,376.64,120.36,209.64,10,380.20,121.76,212.86,10,370.80,107.69,181.79,10,386.35,122.76,211.37,10,389.97,121.84,212.98,10,380.11,106.18,188.17,
11,377.75,120.18,209.50,11,380.98,119.72,214.85,11,369.97,108.57,183.97,11,386.36,121.81,210.84,11,393.36,123.25,215.98,11,380.43,107.33,186.33,
12,379.31,123.60,212.07,12,382.02,119.46,214.91,12,371.80,109.83,184.57,12,389.53,122.08,213.74,12,391.74,122.74,213.24,12,382.03,106.63,188.60,
13,379.93,118.93,214.58,13,382.33,120.57,215.90,13,372.06,109.66,186.64,13,391.40,121.51,215.91,13,393.00,122.09,217.56,13,384.39,110.17,189.01,
14,379.28,119.92,212.00,14,382.23,120.05,216.76,14,374.50,110.13,187.38,14,389.97,119.70,215.62,14,393.01,122.53,216.26,14,383.57,110.57,190.22,
15,383.53,120.95,213.28,15,383.77,120.28,216.34,15,374.92,110.39,185.79,15,392.43,120.51,214.33,15,393.29,119.95,217.62,15,385.61,108.54,192.37,
16,382.47,119.66,214.64,16,385.26,121.61,216.32,16,375.03,109.52,189.10,16,392.11,120.46,215.26,16,395.50,119.38,221.31,16,386.13,107.25,191.69,
