0_0,,,,1_0,,,,1_1,,,,2_0,,,,3_0,,,,3_1,,,,
n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,n,real,user,sys,
1,181.76,45.79,120.98,1,182.92,46.68,123.45,1,183.53,45.81,109.85,1,183.23,47.68,124.56,1,183.09,46.34,123.40,1,184.41,45.10,109.28,
2,182.63,45.70,122.87,2,183.77,45.09,123.78,2,187.03,46.18,113.28,2,194.71,49.71,131.04,2,196.90,50.70,132.15,2,195.23,47.81,115.95,
3,193.77,50.17,130.35,3,193.43,50.32,129.59,3,194.89,48.82,116.20,3,196.39,51.29,132.35,3,196.80,51.12,134.82,3,196.18,51.53,116.87,
4,195.58,50.43,130.92,4,195.03,50.54,130.40,4,193.46,48.57,117.59,4,195.06,48.81,130.29,4,196.27,50.65,131.60,4,195.22,49.51,117.60,
5,193.22,49.95,130.32,5,194.64,51.57,130.98,5,196.37,49.18,116.45,5,197.23,51.04,134.62,5,201.40,51.26,135.06,5,210.54,52.45,128.18,
6,195.49,48.68,132.09,6,195.13,48.78,132.42,6,195.62,49.23,117.28,6,196.84,49.70,133.28,6,196.97,51.00,133.09,6,196.52,48.32,117.23,
7,194.82,50.15,130.46,7,196.52,52.34,131.03,7,196.14,48.81,118.09,7,198.98,52.14,133.71,7,198.95,50.53,133.37,7,197.13,49.76,118.46,
8,196.62,50.43,132.64,8,196.55,50.82,132.79,8,196.29,48.62,118.54,8,197.42,52.20,132.15,8,198.56,51.59,132.90,8,196.82,49.31,119.56,
9,196.36,49.39,130.45,9,199.02,51.09,135.00,9,197.67,49.71,119.39,9,198.71,50.75,134.17,9,198.50,51.10,130.78,9,198.98,48.18,121.31,
10,196.61,49.93,133.32,10,196.93,50.46,134.85,10,197.45,48.46,119.67,10,198.78,51.67,133.28,10,197.67,50.10,134.28,10,198.76,49.40,117.73,
11,198.82,52.67,134.29,11,198.78,52.43,133.70,11,198.21,51.03,119.28,11,201.18,52.32,134.57,11,199.90,49.48,135.43,11,199.97,48.23,120.00,
12,197.96,53.03,131.75,12,197.76,51.53,132.34,12,197.51,48.92,117.57,12,200.19,51.78,130.07,12,199.46,50.29,132.00,12,200.39,49.12,117.90,
13,200.06,51.87,131.84,13,199.47,52.10,135.45,13,198.78,50.18,118.45,13,200.52,49.54,134.15,13,200.10,51.40,131.28,13,199.22,50.48,118.78,
14,199.77,50.23,134.12,14,199.06,50.25,134.00,14,198.19,49.46,116.95,14,200.33,51.45,134.26,14,200.98,51.20,133.00,14,200.99,49.96,120.23,
15,201.25,51.89,133.62,15,200.22,52.42,133.40,15,199.20,50.75,117.45,15,201.62,50.15,136.23,15,201.16,50.85,134.84,15,200.62,51.10,118.92,
16,200.57,50.56,135.53,16,199.65,51.07,135.48,16,198.54,48.50,119.09,16,201.65,50.40,133.35,16,202.16,51.03,134.73,16,202.11,49.21,122.84,
17,200.85,52.59,134.35,17,200.61,49.68,136.09,17,200.89,49.34,120.32,17,201.74,51.89,137.21,17,201.73,51.45,134.48,17,202.07,49.45,120.32,
18,200.71,52.70,133.14,18,200.02,50.84,134.39,18,200.50,48.26,119.71,18,202.87,51.56,134.35,18,203.12,52.65,136.89,18,204.24,50.45,119.62,
19,201.69,51.85,135.50,19,202.30,50.90,134.84,19,201.87,50.50,119.90,19,202.42,50.57,132.90,19,203.85,50.92,137.50,19,202.27,49.90,120.50,
20,200.72,50.75,133.53,20,202.29,50.95,135.62,20,202.35,50.46,120.75,20,204.53,53.67,133.67,20,204.86,51.37,138.82,20,203.27,50.34,120.20,
21,204.52,51.14,138.17,21,202.36,51.68,135.09,21,202.37,50.42,120.95,21,203.72,51.68,135.26,21,203.11,51.70,135.75,21,203.96,49.87,122.98,
22,201.25,50.89,136.51,22,201.69,50.93,133.89,22,204.18,50.42,122.00,22,203.92,50.95,137.28,22,206.05,52.20,136.89,22,204.39,50.57,122.50,
23,202.12,53.28,134.35,23,204.33,50.01,138.18,23,202.82,49.87,120.50,23,204.59,51.01,136.26,23,205.00,51.17,137.90,23,203.22,49.70,120.06,
24,203.73,51.57,136.70,24,204.26,51.54,135.50,24,204.45,51.03,121.40,24,205.62,52.06,136.82,24,205.97,51.48,137.89,24,205.08,50.00,121.09,
25,203.08,51.56,135.71,25,204.64,52.09,133.78,25,203.26,51.01,122.29,25,205.30,52.45,134.79,25,205.24,51.40,137.26,25,202.99,50.00,122.37,
26,205.49,53.20,135.29,26,205.36,52.32,138.03,26,205.15,50.09,121.50,26,205.92,52.14,137.93,26,205.19,52.17,134.42,26,205.54,50.92,121.51,
27,203.39,53.03,135.00,27,205.09,51.96,134.76,27,202.75,49.95,122.40,27,203.94,51.59,137.29,27,205.83,51.89,140.31,27,204.75,50.42,120.79,
28,205.71,52.70,139.50,28,205.87,52.95,137.23,28,205.58,52.40,119.82,28,205.74,52.17,139.42,28,205.71,51.26,137.10,28,206.05,50.45,123.40,
29,203.86,51.92,138.23,29,205.34,53.57,137.25,29,203.65,50.73,121.06,29,205.01,51.79,139.06,29,206.64,54.10,134.67,29,205.86,50.71,124.17,
30,206.01,52.70,137.28,30,205.38,51.68,139.46,30,204.66,52.46,120.10,30,206.17,52.56,138.48,30,207.17,50.84,138.51,30,205.95,50.23,126.26,
31,203.80,52.14,136.43,31,206.22,51.79,135.68,31,203.55,49.06,123.09,31,206.12,52.78,137.40,31,207.85,52.95,137.60,31,207.31,50.95,124.06,
